,Trip_distance,count,percentile
0,0.0,560793,6.218575453840805
1,1.0,3085996,34.220289797217355
2,2.0,1968927,21.83322743437314
3,3.0,1101444,12.213798357290894
4,4.0,726478,8.055839246487315
5,5.0,432702,4.798187630779672
6,6.0,323560,3.5879233047572474
7,7.0,228277,2.5313399933244844
8,8.0,168701,1.8707079040544332
9,9.0,104132,1.1547089552818077
10,10.0,80387,0.8914031113225394
11,11.0,55302,0.6132381462470184
12,12.0,42255,0.46856131549795244
13,13.0,28874,0.32018079336617866
14,14.0,23725,0.26308406603216
15,15.0,19381,0.2149139002642484
16,16.0,13235,0.14676154326388358
17,17.0,10238,0.1135281208867125
18,18.0,12921,0.14327962980828407
19,19.0,8962,0.09937868913720624
