,speed,count,percentile
0,1.0,5687,11.535262976410214
1,2.0,1419,2.8782377639398797
2,3.0,1002,2.032413135636194
3,4.0,1160,2.3528934504371106
4,5.0,1405,2.849840774020811
5,6.0,1830,3.7118922537068215
6,7.0,2225,4.513093040709113
7,8.0,2646,5.367031094703961
8,9.0,2580,5.233159570799781
9,10.0,2696,5.468448915843492
10,11.0,2457,4.9836717307965355
11,12.0,2548,5.168252165270482
12,13.0,2545,5.1621670960021095
13,14.0,2679,5.433966856656052
14,15.0,2340,4.746354029330034
15,16.0,1999,4.054684489158435
16,17.0,1717,3.4826879779314823
17,18.0,2148,4.356909596154236
18,19.0,1851,3.754487738585424
19,20.0,1239,2.513133607837569
20,21.0,819,1.6612239102655117
21,22.0,702,1.4239062087990102
22,23.0,526,1.0669154783878623
23,24.0,433,0.8782783310683353
24,25.0,334,0.6774710452120647
25,26.0,315,0.638932273179043
26,27.0,292,0.592280075454859
27,28.0,238,0.48274882862416585
28,29.0,172,0.3488773047199854
29,30.0,275,0.5577980162674185
30,31.0,110,0.2231192065069674
31,32.0,95,0.1926938601651082
32,33.0,95,0.1926938601651082
33,34.0,72,0.14604166244092412
34,35.0,74,0.15009837528650535
35,36.0,47,0.0953327518711588
36,37.0,53,0.10750289040790248
37,38.0,45,0.09127603902557757
38,39.0,38,0.07707754406604328
39,40.0,40,0.08113425691162451
40,41.0,33,0.06693576195209022
41,42.0,25,0.05070891056976532
42,43.0,24,0.048680554146974704
43,44.0,20,0.04056712845581226
44,45.0,28,0.05679397983813716
45,46.0,19,0.03853877203302164
46,47.0,14,0.02839698991906858
47,48.0,15,0.030425346341859193
48,49.0,18,0.03651041561023103
49,50.0,19,0.03853877203302164
50,51.0,8,0.0162268513823249
51,52.0,11,0.022311920650696742
52,53.0,11,0.022311920650696742
53,54.0,8,0.0162268513823249
54,55.0,7,0.01419849495953429
55,56.0,6,0.012170138536743676
56,57.0,5,0.010141782113953064
57,58.0,4,0.00811342569116245
58,59.0,7,0.01419849495953429
59,60.0,7,0.01419849495953429
60,61.0,8,0.0162268513823249
61,62.0,3,0.006085069268371838
62,63.0,2,0.004056712845581225
63,64.0,10,0.02028356422790613
64,65.0,4,0.00811342569116245
65,67.0,1,0.0020283564227906127
66,68.0,1,0.0020283564227906127
67,69.0,3,0.006085069268371838
68,70.0,1,0.0020283564227906127
69,71.0,1,0.0020283564227906127
70,72.0,3,0.006085069268371838
71,73.0,2,0.004056712845581225
72,74.0,2,0.004056712845581225
73,76.0,2,0.004056712845581225
74,77.0,3,0.006085069268371838
75,81.0,1,0.0020283564227906127
76,82.0,1,0.0020283564227906127
77,84.0,1,0.0020283564227906127
78,85.0,1,0.0020283564227906127
79,89.0,1,0.0020283564227906127
80,90.0,1,0.0020283564227906127
81,91.0,1,0.0020283564227906127
82,93.0,1,0.0020283564227906127
83,96.0,1,0.0020283564227906127
84,97.0,1,0.0020283564227906127
85,100.0,1,0.0020283564227906127
86,101.0,1,0.0020283564227906127
87,103.0,1,0.0020283564227906127
88,112.0,2,0.004056712845581225
89,114.0,1,0.0020283564227906127
90,115.0,1,0.0020283564227906127
91,132.0,1,0.0020283564227906127
