,speed,count
0,0.0,66381
1,1.0,5687
2,2.0,1419
3,3.0,1002
4,4.0,1160
5,5.0,1405
6,6.0,1830
7,7.0,2225
8,8.0,2646
9,9.0,2580
10,10.0,2696
11,11.0,2457
12,12.0,2548
13,13.0,2545
14,14.0,2679
15,15.0,2340
16,16.0,1999
17,17.0,1717
18,18.0,2148
19,19.0,1851
20,20.0,1239
21,21.0,819
22,22.0,702
23,23.0,526
24,24.0,433
25,25.0,334
26,26.0,315
27,27.0,292
28,28.0,238
29,29.0,172
30,30.0,275
31,31.0,110
32,32.0,95
33,33.0,95
34,34.0,72
35,35.0,74
36,36.0,47
37,37.0,53
38,38.0,45
39,39.0,38
40,40.0,40
41,41.0,33
42,42.0,25
43,43.0,24
44,44.0,20
45,45.0,28
46,46.0,19
47,47.0,14
48,48.0,15
49,49.0,18
50,50.0,19
51,51.0,8
52,52.0,11
53,53.0,11
54,54.0,8
55,55.0,7
56,56.0,6
57,57.0,5
58,58.0,4
59,59.0,7
60,60.0,7
61,61.0,8
62,62.0,3
63,63.0,2
64,64.0,10
65,65.0,4
66,67.0,1
67,68.0,1
68,69.0,3
69,70.0,1
70,71.0,1
71,72.0,3
72,73.0,2
73,74.0,2
74,76.0,2
75,77.0,3
76,81.0,1
77,82.0,1
78,84.0,1
79,85.0,1
80,89.0,1
81,90.0,1
82,91.0,1
83,93.0,1
84,96.0,1
85,97.0,1
86,100.0,1
87,101.0,1
88,103.0,1
89,112.0,2
90,114.0,1
91,115.0,1
92,132.0,1
93,inf,8346970
