,CLDATE,count,PRCP,SNWD,SNOW
0,2016-01-01,64396,0.0,0.0,0.0
1,2016-01-02,46958,0.0,0.0,0.0
2,2016-01-03,44270,0.0,0.0,0.0
3,2016-01-04,43740,0.0,0.0,0.0
4,2016-01-05,42342,0.0,0.0,0.0
5,2016-01-06,42025,0.0,0.0,0.0
6,2016-01-07,42811,0.0,0.0,0.0
7,2016-01-08,50987,0.0,0.0,0.0
8,2016-01-09,56861,0.0,0.0,0.0
9,2016-01-10,49877,1.8,0.0,0.0
10,2016-01-11,41603,0.0,0.0,0.0
11,2016-01-12,41124,0.0,0.0,0.0
12,2016-01-13,45839,0.0,0.0,0.0
13,2016-01-14,45846,0.0,0.0,0.0
14,2016-01-15,52719,0.0,0.0,0.0
15,2016-01-16,59626,0.24,0.0,0.0
16,2016-01-17,52803,0.05,0.0,0.4
17,2016-01-18,38913,0.0,0.0,0.0
18,2016-01-19,43963,0.0,0.0,0.0
19,2016-01-20,43734,0.0,0.0,0.0
20,2016-01-21,48606,0.0,0.0,0.0
21,2016-01-22,57552,0.01,0.0,0.2
22,2016-01-23,11031,2.31,5.9,27.3
23,2016-01-24,22010,0.0,22.0,0.0
24,2016-01-25,42944,0.0,18.9,0.0
25,2016-01-26,44321,0.0,16.9,0.0
26,2016-01-27,45792,0.0,9.1,0.0
27,2016-01-28,47519,0.0,5.9,0.0
28,2016-01-29,57370,0.0,5.9,0.0
29,2016-01-30,65415,0.0,5.9,0.0
30,2016-01-31,52288,0.0,3.9,0.0
31,2016-02-01,42456,0.01,2.0,0.0
32,2016-02-02,42445,0.0,0.0,0.0
33,2016-02-03,46115,0.73,0.0,0.0
34,2016-02-04,48063,0.0,0.0,0.0
35,2016-02-05,55521,0.53,1.2,2.5
36,2016-02-06,64640,0.0,0.0,0.0
37,2016-02-07,56269,0.0,0.0,0.0
38,2016-02-08,41975,0.05,0.0,0.1
39,2016-02-09,41629,0.0,0.0,0.0
40,2016-02-10,47315,0.01,0.0,0.0
41,2016-02-11,56100,0.0,0.0,0.0
42,2016-02-12,61363,0.0,0.0,0.0
43,2016-02-13,70652,0.0,0.0,0.0
44,2016-02-14,57902,0.0,0.0,0.0
45,2016-02-15,44269,0.44,0.0,1.4
46,2016-02-16,42679,1.01,0.0,0.0
47,2016-02-17,45466,0.0,0.0,0.0
48,2016-02-18,50612,0.0,0.0,0.0
49,2016-02-19,57004,0.0,0.0,0.0
50,2016-02-20,66513,0.0,0.0,0.0
51,2016-02-21,55142,0.03,0.0,0.0
52,2016-02-22,41179,0.0,0.0,0.0
53,2016-02-23,49523,0.3,0.0,0.0
54,2016-02-24,49668,1.22,0.0,0.0
55,2016-02-25,51493,0.02,0.0,0.0
56,2016-02-26,60253,0.0,0.0,0.0
57,2016-02-27,67411,0.0,0.0,0.0
58,2016-02-28,53739,0.0,0.0,0.0
59,2016-02-29,43326,0.05,0.0,0.0
60,2016-03-01,45349,0.0,0.0,0.0
61,2016-03-02,49331,0.14,0.0,0.0
62,2016-03-03,52983,0.0,0.0,0.0
63,2016-03-04,58737,0.11,0.0,0.4
64,2016-03-05,68122,0.0,0.0,0.0
65,2016-03-06,53538,0.0,0.0,0.0
66,2016-03-07,41294,0.0,0.0,0.0
67,2016-03-08,43023,0.0,0.0,0.0
68,2016-03-09,45284,0.0,0.0,0.0
69,2016-03-10,48983,0.0,0.0,0.0
70,2016-03-11,57954,0.06,0.0,0.0
71,2016-03-12,67200,0.0,0.0,0.0
72,2016-03-13,51739,0.0,0.0,0.0
73,2016-03-14,46516,0.29,0.0,0.0
74,2016-03-15,42507,0.0,0.0,0.0
75,2016-03-16,46890,0.02,0.0,0.0
76,2016-03-17,50797,0.0,0.0,0.0
77,2016-03-18,57699,0.0,0.0,0.0
78,2016-03-19,64359,0.0,0.0,0.0
79,2016-03-20,55616,0.07,0.0,0.0
80,2016-03-21,41736,0.06,0.0,0.5
81,2016-03-22,43293,0.0,0.0,0.0
82,2016-03-23,44630,0.0,0.0,0.0
83,2016-03-24,51454,0.0,0.0,0.0
84,2016-03-25,51883,0.04,0.0,0.0
85,2016-03-26,62613,0.0,0.0,0.0
86,2016-03-27,53237,0.0,0.0,0.0
87,2016-03-28,41635,0.38,0.0,0.0
88,2016-03-29,43788,0.0,0.0,0.0
89,2016-03-30,46051,0.0,0.0,0.0
90,2016-03-31,48152,0.0,0.0,0.0
91,2016-04-01,57024,0.02,0.0,0.0
92,2016-04-02,66097,0.16,0.0,0.0
93,2016-04-03,56100,0.09,0.0,0.0
94,2016-04-04,46640,0.47,0.0,0.0
95,2016-04-05,47499,0.0,0.0,0.0
96,2016-04-06,46256,0.0,0.0,0.0
97,2016-04-07,48454,0.09,0.0,0.0
98,2016-04-08,58818,0.01,0.0,0.0
99,2016-04-09,68654,0.11,0.0,0.0
100,2016-04-10,56024,0.0,0.0,0.0
101,2016-04-11,42216,0.01,0.0,0.0
102,2016-04-12,44189,0.2,0.0,0.0
103,2016-04-13,45542,0.0,0.0,0.0
104,2016-04-14,48868,0.0,0.0,0.0
105,2016-04-15,57218,0.0,0.0,0.0
106,2016-04-16,67849,0.0,0.0,0.0
107,2016-04-17,56261,0.0,0.0,0.0
108,2016-04-18,41263,0.0,0.0,0.0
109,2016-04-19,41894,0.0,0.0,0.0
110,2016-04-20,45197,0.0,0.0,0.0
111,2016-04-21,47334,0.0,0.0,0.0
112,2016-04-22,53773,0.0,0.0,0.0
113,2016-04-23,62011,0.16,0.0,0.0
114,2016-04-24,52698,0.0,0.0,0.0
115,2016-04-25,37857,0.0,0.0,0.0
116,2016-04-26,42528,0.24,0.0,0.0
117,2016-04-27,42607,0.0,0.0,0.0
118,2016-04-28,45585,0.0,0.0,0.0
119,2016-04-29,55564,0.05,0.0,0.0
120,2016-04-30,61905,0.0,0.0,0.0
121,2016-05-01,51976,0.16,0.0,0.0
122,2016-05-02,40595,0.04,0.0,0.0
123,2016-05-03,44265,0.61,0.0,0.0
124,2016-05-04,46171,0.01,0.0,0.0
125,2016-05-05,50559,0.0,0.0,0.0
126,2016-05-06,60060,0.54,0.0,0.0
127,2016-05-07,67447,0.0,0.0,0.0
128,2016-05-08,57984,0.16,0.0,0.0
129,2016-05-09,40281,0.0,0.0,0.0
130,2016-05-10,41134,0.0,0.0,0.0
131,2016-05-11,42589,0.0,0.0,0.0
132,2016-05-12,48427,0.0,0.0,0.0
133,2016-05-13,55685,0.25,0.0,0.0
134,2016-05-14,67398,0.0,0.0,0.0
135,2016-05-15,57551,0.0,0.0,0.0
136,2016-05-16,41273,0.0,0.0,0.0
137,2016-05-17,43709,0.0,0.0,0.0
138,2016-05-18,46099,0.0,0.0,0.0
139,2016-05-19,48593,0.0,0.0,0.0
140,2016-05-20,55470,0.0,0.0,0.0
141,2016-05-21,67758,0.04,0.0,0.0
142,2016-05-22,52573,0.09,0.0,0.0
143,2016-05-23,39268,0.02,0.0,0.0
144,2016-05-24,40960,0.18,0.0,0.0
145,2016-05-25,44759,0.0,0.0,0.0
146,2016-05-26,47878,0.0,0.0,0.0
147,2016-05-27,52707,0.0,0.0,0.0
148,2016-05-28,57265,0.0,0.0,0.0
149,2016-05-29,50109,0.0,0.0,0.0
150,2016-05-30,37049,1.65,0.0,0.0
151,2016-05-31,39387,0.0,0.0,0.0
152,2016-06-01,42869,0.0,0.0,0.0
153,2016-06-02,46339,0.0,0.0,0.0
154,2016-06-03,54391,0.04,0.0,0.0
155,2016-06-04,66186,0.4,0.0,0.0
156,2016-06-05,51552,0.91,0.0,0.0
157,2016-06-06,38993,0.0,0.0,0.0
158,2016-06-07,40615,0.0,0.0,0.0
159,2016-06-08,47278,0.45,0.0,0.0
160,2016-06-09,45042,0.0,0.0,0.0
161,2016-06-10,50795,0.0,0.0,0.0
162,2016-06-11,59278,0.0,0.0,0.0
163,2016-06-12,48480,0.0,0.0,0.0
164,2016-06-13,37941,0.0,0.0,0.0
165,2016-06-14,37737,0.0,0.0,0.0
166,2016-06-15,42177,0.0,0.0,0.0
167,2016-06-16,45686,0.22,0.0,0.0
168,2016-06-17,52327,0.0,0.0,0.0
169,2016-06-18,60909,0.0,0.0,0.0
170,2016-06-19,52528,0.0,0.0,0.0
171,2016-06-20,38499,0.0,0.0,0.0
172,2016-06-21,39289,0.0,0.0,0.0
173,2016-06-22,41869,0.0,0.0,0.0
174,2016-06-23,45032,0.0,0.0,0.0
175,2016-06-24,50677,0.0,0.0,0.0
176,2016-06-25,58952,0.0,0.0,0.0
177,2016-06-26,51363,0.0,0.0,0.0
178,2016-06-27,39832,0.45,0.0,0.0
179,2016-06-28,37497,0.12,0.0,0.0
180,2016-06-29,38168,0.01,0.0,0.0
181,2016-06-30,42425,0.0,0.0,0.0
